Name,Slot,Description,CD,Tags,Needs 3D Print,,,,,,,
,Q,"Lash a vine once in any direction with range 5, dealing 5 terra damage. Range or AOE increases instead apply to the number of lashes. Subsequent lashes deal +2 terra damage, stacking.",1,"terra, aoe",,,,,,,,
,Q,,1,,,,,,,,,
,Q,,1,,,,,,,,,
,Q,,1,,,,,,,,,
,Q,,1,,,,,,,,,
,Q,,1,,,,,,,,,
,Q,,1,,,,,,,,,
,Q,,1,,,,,,,,,
,Q,,1,,,,,,,,,
,Q,,1,,,,,,,,,
,Q,,1,,,,,,,,,
,Q,,1,,,,,,,,,
,Q,,1,,,,,,,,,
,Q,,1,,,,,,,,,
,Q,,1,,,,,,,,,
,Q,,1,,,,,,,,,
,Q,,1,,,,,,,,,
,Q,,1,,,,,,,,,
,Q,,1,,,,,,,,,
,Q,,1,,,,,,,,,
,Q,,1,,,,,,,,,
,Q,,1,,,,,,,,,
Disorient,W,Mark an enemy in range 3. Their next ability has a 50% chance to fail.,2,"mark, dark, roll",1 mark,,,,,,,
Momentary Vampire,W,"For the rest of your turn, gain +50% lifesteal.",3,"healing, dark",,,,,,,,
Yank,W,"Stab in any direction 3 tiles, dealing 3 damage and pulling all enemies as close to you as possible.",1,"melee, physical",,,,,,,,
Unkillable Dummy King,W,"Innate - 4 max spirit, 2 spirit regeneration

Summon (4) - Summon a dummy that cannot be killed or destroyed. Dummy counts as both an ally and an enemy to you. Dealing non-AOE damage to this dummy applies the damage as an AOE in radius 2 around the dummy. Cannot chain to itself. Max 1 dummy.

Move (2): Move the dummy up to 2 tiles in any direction. ",X,necromancy,1 dummy minion,,,,,,,
Small Little Guys,W,"Innate - 3 max spirit, 2 spirit regeneration

Summon (1) - Summon a small little guy with 1d4 health. Max 6 small little guys.

CHAAARGE! (2) - You may move each small little guy up to 2 tiles in any direction, then they can attack an enemy in radius 1 for 1d4 dark damage. Casting this after the first time in a turn only costs 1 spirit.",X,"necromancy, dark, roll",6 small little guys,,,,,,,
Final Ascension,W,"This ability starts on cooldown. Base cooldown is decided by 1d6. When not on cooldown, your non-roll base damage values are doubled.",X,"holy, roll",,,,,,,,
Freezing Spray,W,"Fire a freezing ice shot in all directions with infinite range, dealing 6 ice damage and increasing all ability cooldowns of players hit by 1 if possible.",2,"projectile, ice",,,,,,,,
Gamble Gamble,W,"Roll a d4, this dice type cannot be changed. If you roll a 1 or 2, reduce your Q, E, and A cooldowns by that much. If you roll a 3 or 4, increase your Q, E, and A cooldowns by that much, minus 2. Reductions can bring a cooldown to 0, and increases can bring a cooldown above its normal cooldown.",1,roll,,,,,,,,
Suicidal Chiken,W,"Summon a chiken with 1d4 health in radius 2 around yourself. When you use your attack action, if a chiken is in direct line of sight of an enemy, it will jump onto that enemy and explode for 3 fire damage and 2 ignite in radius 1. Max 4 suicidal chikens.",1,"necromancy, fire, dark, aoe",4 chickens,,,,,,,
Regenerative Shield,W,"Upon taking damage, choose X between 1-5. Reduce incoming damage by 4 times X, then put this ability on X cooldown.",X,"stone, healing",,,,,,,,
Personal Ambulance,W,"Innate - 4 max spirit, 1 spirit regeneration

Summon (3) - Summon a guardian angel with 1d12 health and +1 advantage on health rolls. When you use your move action, you may move your guardian angel 1 tile. When any non-guardian angel ally takes damage within radius 2 of a guardian angel, there is a 50% chance the damage will be redirected to the guardian angel. On death, guardian angels heal all entities in radius 2 for 6. Max 2 guardian angels.

Heal (3) - A guardian angel heals a chosen entity in radius 2 for 9 health.",X,"healing, necromancy, aoe, holy, roll",1 guardian angel minion,,,,,,,
Golden Spears,W,Choose either vertical or horizontal. Adjacent columns or rows are hit by a piercing golden spear that deals 9 physical damage. You gain 6 health for each enemy hit.,2,"projectile, physical, holy, healing",,,,,,,,
Shadow,W,"Mark a tile in range 3. All moves, attacks, and abilities also originate from this tile with half damage. Actions originated from this tile are separate and optional, but cannot include recasts.",3,"mark, dark",1 tile marker,,,,,,,
Baby Devils,W,"Innate - 5 max spirit, 2 spirit regeneration

Infest (5) - Mark an enemy in radius 2. When the marked enemy begins their turn, the mark is consumed to spawn a baby devil with 1d6 health on all empty adjacent tiles to them. When the marked enemy ends their turn, all baby devils may attack any enemy in range 1 for 1d8 dark damage and disappear.",3,"dark, necromancy, roll, mark","1 mark, 8 baby devils",,,,,,,
Sanctification,W,"Mark an enemy in radius 1. They have -1 advantage, and when they take any action, they first take 1d4 fire damage. On a 1, consume the mark to deal 3 fire damage. On a 4, apply 3 ignite. If they have disadvantage, you choose which roll they must choose.",3,"holy, mark, roll, fire",1 mark,,,,,,,
Stand Still,W,Consume a defense token to regenerate 30% of your maximum health.,2,"stone, healing",,,,,,,,
Ice Traps,W,"Mark any unoccupied tile on the board. You may have up to 8 ice traps out at a time, and this number cannot be changed. Enemies that move or start their turn over this trap immediately stop, are unable to move for the rest of their turn, are dealt 5 ice damage, and any attacks and abilities used gain +1 cooldown temporarily. ",1,"ice, mark",,,,,,,,
Buildup,W,"Gain +50% lightning and wind damage for each level of cooldown currently on this ability. Dash in any straight line 6 tiles, decreased by X where X is the chosen cooldown, between 1 and 4.",1,"wind, lightning, movement",,,,,,,,
,W,"Consume poison from all enemies in radius 4. Deal 2 poison damage in radius 4, increased by 2 per stack of poison consumed. Heal for 50% of damage dealt.",4,"poison, aoe, healing",,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
,W,,1,,,,,,,,,
